0 1 2 3 4 5 6 7 8 9
32 106 170 204 271 338 484 513 585 638
33 105 168 206 272 337 486 511 584 637
65 112 156 196 290 397 471 512 556 600
66 113 157 195 291 399 470 513 558 598
64 111 158 197 289 398 469 511 557 599
47 135 179 206 284 443 468 546 550 590
48 137 178 205 285 442 466 545 551 591
46 136 177 204 283 444 467 544 552 589
44 121 163 210 302 373 484 561 568 588
45 120 164 211 301 375 486 560 569 587
43 122 162 212 303 374 485 559 570 586
35 119 159 200 273 320 468 544 565 597
36 117 161 199 271 321 466 546 566 596
34 118 160 198 272 319 467 545 567 595
26 123 159 229 274 323 384 553 622 635
27 125 160 228 276 324 383 554 624 636
25 124 161 230 275 322 382 555 623 634
50 119 172 221 280 325 354 551 626 636
51 117 173 219 282 326 353 552 627 635
49 118 171 220 281 327 352 550 625 634
53 115 153 197 287 323 356 550 578 626
54 116 155 195 288 324 357 552 577 625
52 114 154 196 286 322 355 551 579 627
44 107 164 197 282 365 422 514 554 623
45 106 162 196 281 366 421 516 553 624
43 105 163 195 280 364 423 515 555 622
35 111 147 220 296 387 454 526 541 627
36 112 149 221 295 386 456 528 542 625
34 113 148 219 297 385 455 527 543 626
32 122 148 206 268 369 384 542 548 623
33 121 147 205 270 368 382 543 547 624
31 120 149 204 269 367 383 541 549 622
59 115 149 218 302 304 470 533 545 628
60 114 148 217 301 305 469 534 544 630
58 116 147 216 303 306 471 532 546 629
56 90 172 209 263 479 500 518 533 594
57 91 171 208 262 480 501 517 532 593
55 92 173 207 264 478 499 519 534 592
33 131 170 221 267 457 483 501 575 603
32 129 169 220 266 459 482 499 576 601
31 130 168 219 265 458 481 500 574 602
65 135 177 228 264 426 470 501 571 631
66 137 179 229 262 425 469 500 572 633
64 136 178 230 263 424 471 499 573 632
62 128 155 224 264 441 460 503 549 626
63 126 153 223 262 439 461 504 548 627
61 127 154 222 263 440 462 502 547 625
62 132 147 214 253 279 344 493 574 617
63 134 149 213 253 277 345 495 576 618
61 133 148 215 253 278 343 494 575 616
51 125 152 201 253 294 405 480 573 583
50 124 150 202 253 292 403 478 572 584
49 123 151 203 253 293 404 479 571 585
65 109 159 223 255 297 365 412 536 637
66 108 161 222 255 296 366 414 537 639
64 110 160 224 255 295 364 413 535 638
27 90 173 215 247 285 420 486 513 597
26 92 171 214 246 283 419 485 511 596
25 91 172 213 248 284 418 484 512 595
41 129 158 202 247 302 329 481 546 613
42 130 157 203 248 303 328 483 544 614
40 131 156 201 246 301 330 482 545 615
41 126 145 228 236 279 338 555 569 614
42 128 144 230 234 278 339 553 568 615
40 127 146 229 235 277 337 554 570 613
38 117 176 209 236 272 373 556 576 612
39 119 174 208 234 271 374 557 574 611
37 118 175 207 235 273 375 558 575 610
29 112 167 219 235 292 443 517 561 599
30 113 166 220 234 294 442 518 560 600
28 111 165 221 236 293 444 519 559 598
39 101 175 202 248 268 353 356 536 624
38 99 174 201 247 270 352 355 537 622
37 100 176 203 246 269 354 357 535 623
56 128 170 193 254 296 435 492 505 630
57 127 169 194 254 297 433 491 506 628
55 126 168 192 254 295 434 490 507 629
47 104 163 194 203 276 460 525 528 627
48 103 164 193 202 274 461 523 527 625
46 102 162 192 201 275 462 524 526 626
71 88 184 591 594 598 604 608 623 629
72 87 185 590 593 600 606 607 622 630
70 89 183 589 592 599 605 609 624 628
68 85 181 586 597 602 612 615 625 631
69 84 182 587 595 603 611 613 627 632
67 86 180 588 596 601 610 614 626 633
53 83 188 358 382 416 419 500 528 616
54 83 187 359 384 415 420 501 526 618
52 83 186 360 383 417 418 499 527 617
45 83 191 354 390 399 435 504 546 583
44 83 189 352 389 397 433 503 544 584
43 83 190 353 388 398 434 502 545 585
48 82 176 372 387 498 510 534 570 580
47 82 174 370 385 496 509 533 569 581
46 82 175 371 386 497 508 532 568 582
26 82 166 325 342 380 426 481 547 638
27 82 167 327 340 381 424 483 548 639
25 82 165 326 341 379 425 482 549 637
42 84 149 392 402 414 432 489 543 619
41 85 148 391 400 413 430 488 541 621
40 86 147 393 401 412 431 487 542 620
59 85 170 362 403 439 450 471 515 554
60 86 168 363 405 440 449 470 514 553
58 84 169 361 404 441 448 469 516 555
57 88 158 316 330 366 437 495 540 552
56 89 156 318 328 364 436 494 538 550
55 87 157 317 329 365 438 493 539 551
50 84 171 378 396 422 446 490 513 556
51 85 172 377 395 421 445 491 511 558
49 86 173 376 394 423 447 492 512 557
35 89 145 334 337 407 455 480 566 577
36 87 146 336 339 408 454 479 567 578
34 88 144 335 338 406 456 478 565 579
32 87 155 320 346 368 452 477 564 572
33 88 153 321 347 367 451 475 562 573
31 89 154 319 348 369 453 476 563 571
30 85 161 313 323 345 351 465 519 561
29 84 159 314 324 344 349 463 518 559
28 86 160 315 322 343 350 464 517 560
38 88 151 305 411 443 485 523 531 636
39 87 152 304 409 444 486 525 529 634
37 89 150 306 410 442 484 524 530 635
66 89 164 312 374 429 460 474 507 576
65 88 163 311 375 427 462 472 505 574
64 87 162 310 373 428 461 473 506 575
63 86 178 309 333 357 457 468 522 537
62 85 179 307 332 355 459 467 520 536
61 84 177 308 331 356 458 466 521 535
