0 1 2 3 4 5
148 3771 3791 3806 3819 3895
149 3772 3785 3804 3814 3904
150 3773 3784 3801 3823 3896
151 3774 3792 3808 3815 3897
152 3775 3789 3798 3824 3898
153 3776 3783 3799 3821 3902
154 3777 3788 3805 3816 3901
124 3602 3618 3682 3714 3826
127 3604 3621 3683 3716 3829
125 3605 3619 3684 3715 3827
126 3603 3620 3685 3717 3828
139 3606 3625 3695 3727 3834
128 3607 3633 3690 3726 3833
129 3608 3629 3694 3723 3840
130 3609 3627 3692 3728 3830
131 3610 3631 3696 3719 3838
132 3611 3624 3687 3729 3832
133 3612 3628 3691 3720 3841
134 3613 3622 3693 3724 3837
135 3614 3630 3688 3718 3836
136 3615 3623 3697 3721 3839
137 3616 3632 3689 3722 3831
138 3617 3626 3686 3725 3835
108 3506 3522 3586 3650 3874
111 3508 3525 3587 3651 3876
109 3509 3523 3589 3653 3875
110 3507 3524 3588 3652 3877
123 3510 3533 3595 3665 3888
112 3511 3537 3597 3659 3879
113 3512 3535 3592 3662 3884
114 3513 3530 3590 3660 3889
115 3514 3531 3600 3664 3880
116 3515 3536 3599 3656 3883
117 3516 3528 3594 3661 3878
118 3517 3527 3598 3657 3887
119 3518 3534 3601 3655 3881
120 3519 3532 3591 3658 3882
121 3520 3526 3593 3663 3885
122 3521 3529 3596 3654 3886
92 3538 3570 3634 3746 3858
95 3540 3572 3637 3748 3861
93 3541 3571 3635 3747 3859
94 3539 3573 3636 3749 3860
107 3542 3580 3642 3759 3869
96 3543 3585 3644 3757 3866
97 3544 3584 3639 3760 3872
98 3545 3574 3646 3753 3868
99 3546 3578 3649 3750 3865
100 3547 3576 3640 3754 3871
101 3548 3583 3641 3752 3867
102 3549 3575 3648 3756 3870
103 3550 3582 3647 3761 3862
104 3551 3577 3645 3751 3873
105 3552 3581 3638 3758 3864
106 3553 3579 3643 3755 3863
79 3555 3666 3700 3730 3845
76 3556 3668 3701 3733 3842
77 3557 3667 3698 3732 3843
78 3554 3669 3699 3731 3844
91 3558 3674 3713 3740 3852
80 3559 3681 3709 3738 3850
81 3560 3678 3703 3741 3848
