0 1 2 3 4 5 6 7 8 9 10
40 142 233 318 373 424 442 505 682 742 762
41 159 223 315 351 420 457 531 710 772 775
47 162 213 321 369 402 446 538 666 738 794
48 150 207 321 371 389 455 546 691 754 789
49 138 234 317 364 421 474 510 699 713 730
50 123 205 322 356 423 489 528 664 722 756
51 116 232 320 334 407 471 548 659 733 758
52 135 199 315 347 397 460 524 679 805 816
53 124 203 319 363 433 445 503 704 736 778
54 148 227 317 326 415 472 513 667 806 815
55 157 206 316 330 418 487 525 694 715 757
56 114 190 323 367 432 452 526 678 727 739
57 134 215 322 368 405 479 498 669 759 763
58 143 209 320 359 409 449 499 697 809 811
59 125 241 318 352 390 476 539 680 724 770
60 112 200 316 355 404 486 542 684 781 788
61 153 230 323 350 440 468 511 663 717 767
62 136 219 322 329 431 451 534 668 728 740
63 127 216 323 362 396 473 540 661 777 792
64 149 237 315 341 399 469 501 701 760 782
65 145 201 319 337 392 488 535 707 731 779
66 137 211 319 358 388 484 502 671 803 804
67 111 202 316 372 439 481 507 693 774 784
68 151 221 316 366 426 478 536 657 810 812
69 155 193 315 357 414 494 506 670 729 783
70 146 228 323 349 401 450 516 702 718 737
71 120 210 317 346 416 490 497 703 723 797
72 158 229 317 340 394 458 500 709 771 776
73 133 231 318 333 435 482 530 665 719 780
74 154 212 322 325 395 480 509 686 741 800
75 119 204 318 370 406 456 545 660 753 790
76 115 189 321 339 419 470 533 685 808 817
77 139 238 319 365 403 475 541 683 714 725
78 152 192 322 335 436 461 496 692 732 785
37 121 242 316 377 408 463 514 672 716 735
89 144 191 317 354 400 485 523 662 726 793
90 163 225 320 327 398 462 532 695 764 787
85 118 220 321 361 391 459 512 700 773 799
86 132 208 319 338 429 493 508 658 761 768
83 140 222 321 331 393 443 515 708 786 795
84 156 218 315 336 425 447 527 688 734 765
81 141 236 316 360 417 453 522 696 720 802
82 147 235 320 348 422 454 504 687 721 801
79 126 224 320 328 434 448 521 690 755 769
80 122 226 315 376 428 483 537 698 791 798
52 110 204 313 314 350 525 575 629 683 842
47 132 199 303 304 324 521 571 625 678 838
48 133 200 305 306 346 495 572 626 679 839
49 134 201 307 308 347 522 549 627 680 840
50 135 202 309 310 348 523 573 603 681 841
51 136 203 311 312 349 524 574 628 682 819
38 141 210 298 314 369 502 586 653 686 837
39 120 235 297 302 338 515 599 624 669 827
40 162 206 301 305 375 504 561 645 661 847
41 113 225 300 312 352 508 589 656 706 853
42 147 241 299 313 341 536 554 634 700 835
43 118 240 297 305 334 528 588 651 696 855
44 140 228 303 314 356 510 567 655 657 863
45 144 222 304 313 374 531 563 621 704 821
46 160 197 298 307 343 518 601 616 673 826
53 143 234 297 300 370 538 577 613 692 850
54 127 236 303 312 344 496 587 611 701 844
55 159 224 302 306 342 533 558 604 699 832
56 157 215 298 309 363 512 596 623 667 843
57 131 189 299 311 332 514 593 652 660 845
58 121 223 305 309 325 517 555 632 702 866
59 148 212 302 304 371 541 583 619 659 851
60 153 209 298 301 331 539 556 636 668 869
61 149 232 300 309 339 519 562 607 703 846
62 128 238 297 308 362 507 557 640 685 864
63 117 220 311 314 351 542 550 614 707 860
64 111 239 302 314 333 503 578 641 709 862
65 150 242 297 303 354 544 581 644 663 833
66 126 219 300 307 361 530 600 635 662 865
67 146 192 298 299 353 546 560 642 690 868
68 124 207 301 308 357 547 553 648 674 852
69 112 194 302 312 358 545 565 650 664 861
70 155 227 300 306 337 520 569 608 687 870
71 161 193 299 303 329 532 568 618 694 871
72 116 213 307 313 377 506 595 646 689 822
73 130 216 304 310 368 499 597 631 670 831
74 163 231 297 311 366 526 564 630 677 856
75 145 237 301 310 328 509 579 637 705 828
76 123 229 298 304 373 535 592 647 695 859
77 142 221 307 310 335 497 594 622 710 854
78 158 198 308 309 355 543 570 610 658 834
37 137 233 306 308 367 501 591 620 708 823
90 138 211 309 313 336 540 552 643 691 825
89 154 217 308 312 330 537 580 612 675 820
87 122 190 299 310 364 548 582 606 684 849
88 125 196 306 311 372 527 576 639 666 824
86 129 218 310 314 326 534 566 609 672 867
85 139 214 303 306 359 500 559 649 698 829
83 119 226 305 307 327 513 598 638 693 836
84 114 205 300 301 365 529 590 654 676 830
82 152 195 304 311 376 511 551 633 671 848
81 156 191 299 302 345 505 584 605 697 857
79 151 230 305 312 340 498 602 617 688 858
80 115 208 301 313 360 516 585 615 665 872
33 110 209 263 354 417 633 688 761 762 846
29 137 205 259 324 414 630 684 753 754 843
30 138 206 260 351 387 631 685 755 756 844
31 139 207 261 352 415 603 686 757 758 845
36 159 238 292 373 436 652 703 711 812 872
35 158 237 291 372 435 651 704 712 811 871
32 140 208 262 353 416 632 687 759 760 819
29 130 191 257 325 418 636 698 817 818 850
29 134 229 285 328 426 614 663 734 786 870
29 142 232 276 329 401 653 679 752 778 827
29 152 197 294 326 396 648 696 782 794 832
29 125 239 250 327 420 640 681 768 773 868
30 143 226 287 332 391 650 683 740 776 828
30 147 228 249 357 392 622 677 813 815 858
30 149 190 286 377 388 619 682 732 795 855
30 156 202 284 374 390 635 675 738 763 833
30 120 199 283 355 389 656 665 749 800 867
31 145 233 246 339 423 611 709 764 781 835
31 114 213 275 338 410 612 690 805 810 860
31 161 203 256 331 412 609 662 772 802 864
31 155 231 282 343 405 610 697 716 792 842
31 122 211 289 342 422 655 692 717 784 840
32 141 195 273 361 407 643 664 814 816 823
32 151 198 288 333 395 649 695 739 775 822
32 153 201 268 371 400 634 706 735 791 824
32 162 204 251 363 409 618 699 765 785 820
32 127 189 290 365 431 626 673 729 774 821
33 116 234 270 375 428 639 678 714 788 837
33 117 224 248 335 439 621 702 747 789 853
33 118 194 295 348 399 654 657 736 770 859
33 119 215 266 344 430 608 672 803 808 851
33 163 219 281 346 438 615 670 715 779 862
34 128 212 293 359 408 629 710 718 746 830
34 132 192 272 340 404 604 705 724 751 865
34 144 235 264 356 397 620 693 719 766 869
34 150 225 279 364 425 641 661 804 807 826
34 115 210 253 334 440 627 701 748 790 857
34 124 227 245 368 432 646 694 742 799 861
28 131 218 296 367 403 644 689 722 797 866
28 136 200 247 350 393 625 680 806 809 841
28 146 236 269 376 419 613 658 743 780 854
28 113 193 278 366 433 647 691 726 745 836
28 160 216 267 330 424 607 666 771 801 863
28 126 240 254 341 406 623 707 713 741 829
36 129 196 244 345 437 617 676 744 796 825
36 133 220 252 358 434 606 668 737 793 834
36 135 241 280 337 421 645 669 720 727 848
35 148 242 274 336 429 642 674 721 728 839
36 111 222 258 370 398 628 667 777 798 852
35 112 223 255 362 427 616 700 731 733 838
35 157 230 265 347 413 624 660 725 787 831
35 154 214 243 360 402 638 671 723 769 849
36 121 217 277 369 394 637 659 767 783 856
35 123 221 271 349 411 605 708 730 750 847
57 110 185 268 358 471 579 693 771 772 850
53 141 181 264 324 468 576 689 763 764 847
54 142 182 265 355 441 577 690 765 766 848
55 143 183 266 356 469 549 691 767 768 849
86 157 187 289 371 489 598 701 711 809 870
85 156 188 290 370 490 597 702 712 810 869
56 144 184 267 357 470 578 692 769 770 819
38 148 180 279 328 486 564 675 729 762 866
39 153 180 270 327 453 591 704 732 744 863
40 113 185 277 343 448 581 684 815 816 862
41 134 182 287 372 484 556 659 751 797 835
42 117 185 292 363 462 559 696 717 800 865
43 127 184 296 347 443 584 686 747 776 872
44 112 188 256 373 472 588 681 755 791 830
45 145 183 263 329 483 570 666 807 812 855
46 159 180 281 334 481 553 671 726 759 867
47 122 182 260 366 488 596 676 728 790 823
48 149 185 288 338 449 594 694 722 777 837
49 133 180 245 348 463 574 683 814 817 838
50 150 182 255 330 493 600 697 737 782 821
51 137 187 275 345 479 561 710 713 774 859
52 154 188 252 342 458 568 661 779 795 843
58 132 184 284 341 455 601 664 715 796 864
59 114 183 285 335 494 575 685 787 793 829
60 126 181 295 326 477 557 682 748 775 871
61 128 182 254 360 445 558 695 813 818 845
62 162 180 259 344 478 552 707 724 798 831
63 158 187 251 331 480 582 679 714 745 861
64 123 180 276 359 487 595 658 727 789 858
65 151 184 291 376 446 562 668 742 749 842
66 111 183 294 368 457 585 677 743 758 839
67 116 184 271 351 467 590 669 804 806 820
68 131 187 262 369 451 573 698 719 731 853
69 152 186 283 367 476 586 662 808 811 825
70 120 183 272 375 447 551 700 753 802 841
71 119 184 286 336 459 592 706 718 781 856
72 129 183 253 325 460 593 708 736 792 833
73 161 182 247 377 475 565 687 730 773 852
74 140 181 250 340 473 554 674 803 805 854
75 146 187 280 361 492 571 688 716 723 832
76 155 181 293 354 452 550 680 733 785 828
77 121 186 243 374 482 589 699 754 801 860
78 115 188 273 352 485 566 678 750 783 827
37 147 188 244 333 474 587 705 725 794 846
89 125 187 258 339 461 567 670 721 739 826
90 124 188 282 353 464 572 663 720 740 851
87 118 186 278 349 456 583 703 734 757 822
88 138 185 246 365 454 602 672 780 786 857
83 135 186 249 362 465 560 709 741 761 824
84 160 181 257 346 450 563 660 784 799 844
82 139 181 248 364 491 580 665 735 752 836
81 163 186 274 350 444 569 673 756 778 834
79 130 186 269 332 442 599 667 760 788 840
80 136 185 261 337 466 555 657 738 746 868
62 110 214 273 384 421 529 583 781 782 854
58 145 210 269 380 387 526 580 773 774 851
59 146 211 270 381 418 495 581 775 776 852
60 147 212 271 382 419 527 549 777 778 853
84 154 235 287 386 433 542 595 711 808 868
83 155 236 288 385 434 541 596 712 807 867
61 148 213 272 383 420 528 582 779 780 819
38 138 219 267 382 413 501 551 810 818 861
39 113 198 285 383 399 534 571 730 784 872
40 161 215 296 382 389 537 575 733 744 832
41 123 231 257 379 440 513 568 714 738 825
42 142 207 253 383 428 498 567 811 814 856
43 114 202 277 385 409 535 565 723 752 863
44 121 192 291 382 391 524 585 726 764 870
45 137 228 282 384 394 539 599 715 765 836
46 149 217 293 379 430 510 597 728 802 824
47 159 230 290 384 415 530 560 722 736 828
48 122 194 249 380 424 543 550 759 787 869
49 117 237 258 378 431 520 592 757 766 833
50 162 227 278 380 435 511 554 747 772 827
51 132 204 248 379 396 523 572 812 813 840
52 152 242 261 385 398 519 556 713 799 858
53 112 189 294 383 425 509 598 727 801 842
54 133 205 286 382 402 531 593 717 761 826
55 131 229 274 380 390 516 557 804 816 846
56 120 201 279 381 439 499 602 745 794 845
57 150 233 250 379 438 517 566 769 798 822
63 144 221 246 385 407 508 558 740 753 866
64 136 234 283 380 427 547 563 716 751 843
65 111 190 256 384 416 518 589 809 817 847
66 157 241 264 379 401 500 588 729 749 860
67 143 195 295 379 432 497 587 731 786 834
68 116 216 244 384 400 545 569 768 800 871
69 160 238 276 381 417 521 555 719 795 835
70 158 197 254 386 388 525 564 770 791 857
71 129 209 265 386 392 507 574 739 754 865
72 125 206 292 385 412 502 577 718 760 838
73 153 223 280 378 423 538 584 803 815 829
74 115 200 268 385 422 503 600 734 796 831
75 127 232 247 386 429 536 591 763 793 862
76 156 203 281 381 404 504 594 741 767 823
77 141 193 289 378 437 515 562 724 755 839
78 118 196 259 381 408 532 579 805 806 821
37 163 199 262 378 436 512 590 748 771 849
89 119 208 245 381 426 548 559 756 792 848
90 130 220 263 383 397 496 561 735 797 864
88 128 226 251 378 405 546 578 750 762 841
87 140 224 255 386 403 522 552 742 783 850
85 135 225 260 386 411 514 553 743 785 837
86 151 191 243 380 406 540 576 732 758 830
82 124 218 275 378 395 533 601 737 788 855
81 126 222 266 383 414 544 573 725 746 820
80 134 240 252 384 410 505 586 721 789 844
79 139 239 284 382 393 506 570 720 790 859
67 170 219 278 324 475 533 637 791 792 858
63 166 215 274 359 441 530 634 783 784 855
64 167 216 275 360 472 495 635 785 786 856
65 168 217 276 361 473 531 603 787 788 857
82 172 233 285 369 487 540 650 712 806 865
81 171 234 286 368 488 539 649 711 805 866
66 169 218 277 362 474 532 636 789 790 819
38 169 199 282 372 489 504 613 746 793 822
39 167 206 290 376 480 523 608 748 754 835
40 165 236 262 336 485 499 640 736 751 860
41 166 197 269 354 443 503 645 810 814 849
42 171 239 243 344 467 519 620 737 745 828
43 172 203 257 371 478 506 606 743 766 846
44 169 230 251 341 471 497 630 807 808 852
45 164 207 293 333 486 524 623 723 756 850
46 169 200 280 374 458 496 654 742 768 845
47 164 241 266 343 491 507 632 732 734 861
48 165 202 244 349 461 521 627 803 818 842
49 168 196 294 331 450 536 656 722 769 851
50 172 238 253 353 452 527 638 713 749 862
51 166 227 260 325 476 546 615 725 781 863
52 166 194 271 328 493 538 652 739 802 836
53 167 228 288 347 451 548 604 762 773 825
54 164 201 250 345 494 516 651 740 801 837
55 165 240 268 357 490 534 616 714 764 848
56 170 212 255 327 482 520 609 812 816 844
57 170 210 291 348 444 508 648 765 795 829
58 172 222 245 352 468 542 622 728 771 832
59 165 237 256 366 454 517 653 761 799 820
60 165 226 292 367 492 510 624 758 779 821
61 166 235 284 335 465 502 626 716 798 871
62 168 208 264 342 447 514 607 811 815 859
68 171 192 254 346 442 541 643 727 772 833
69 171 229 265 334 446 529 655 735 777 841
70 169 242 273 351 449 509 647 719 744 840
71 168 213 248 358 453 547 631 741 750 870
72 164 220 281 365 477 537 642 809 813 827
73 172 189 295 338 483 522 617 718 726 843
74 172 204 270 337 469 543 605 755 797 826
75 167 193 261 355 464 528 621 804 817 824
76 165 214 289 377 466 498 641 747 753 834
