0 1 2 3 4 5
73 1163 2809 2888 3032 3240
74 1164 2811 2886 3030 3238
75 1165 2810 2887 3031 3239
72 1150 2802 2883 3027 3234
56 1071 2482 2547 2595 2675
70 1072 2484 2549 2596 2676
71 1073 2483 2548 2597 2674
67 1074 2496 2554 2598 2683
69 1075 2495 2555 2600 2682
68 1076 2497 2553 2599 2681
66 1077 2489 2558 2605 2684
64 1078 2490 2557 2606 2685
65 1079 2491 2556 2604 2686
61 1080 2492 2560 2607 2689
62 1081 2493 2561 2608 2688
63 1082 2494 2559 2609 2687
60 1083 2487 2552 2602 2679
58 1084 2486 2551 2603 2680
59 1085 2488 2550 2601 2678
57 1070 2485 2546 2594 2677
140 1118 2562 2642 2658 2690
141 1120 2565 2645 2660 2693
142 1121 2563 2643 2661 2692
143 1119 2564 2644 2659 2691
145 1122 2567 2646 2662 2694
155 1123 2566 2648 2664 2696
144 1124 2568 2647 2663 2695
154 1125 2569 2656 2671 2698
152 1126 2570 2655 2672 2699
153 1127 2571 2657 2673 2697
147 1128 2573 2649 2669 2702
146 1129 2572 2650 2670 2703
151 1130 2575 2651 2665 2704
150 1131 2574 2652 2666 2705
148 1132 2577 2653 2668 2701
149 1133 2576 2654 2667 2700
124 1102 2530 2610 2626 2722
126 1104 2532 2613 2629 2724
125 1105 2531 2611 2628 2723
127 1103 2533 2612 2627 2725
129 1106 2534 2614 2632 2726
128 1107 2535 2616 2630 2728
139 1108 2536 2615 2631 2727
130 1109 2544 2622 2633 2730
131 1110 2545 2623 2634 2729
137 1111 2538 2624 2635 2732
138 1112 2537 2625 2636 2731
134 1113 2542 2618 2640 2735
136 1114 2541 2617 2639 2737
135 1115 2543 2619 2641 2736
132 1116 2540 2621 2637 2733
133 1117 2539 2620 2638 2734
92 1086 2498 2514 2578 2706
95 1088 2499 2516 2579 2708
94 1089 2500 2517 2580 2709
93 1087 2501 2515 2581 2707
97 1090 2502 2518 2582 2710
107 1091 2504 2520 2583 2711
96 1092 2503 2519 2584 2712
98 1093 2505 2524 2588 2721
99 1094 2506 2523 2587 2720
106 1095 2511 2522 2585 2719
105 1096 2510 2521 2586 2718
102 1097 2509 2525 2592 2716
103 1098 2507 2526 2593 2715
104 1099 2508 2527 2591 2717
101 1100 2513 2528 2589 2713
100 1101 2512 2529 2590 2714
71 991 2197 2243 2291 2309
57 992 2196 2245 2292 2308
56 993 2195 2242 2293 2306
63 994 2198 2246 2295 2312
62 995 2200 2248 2294 2311
61 996 2199 2247 2296 2310
68 997 2203 2249 2303 2316
67 998 2202 2250 2304 2318
69 999 2201 2251 2305 2317
64 1000 2207 2257 2299 2313
