0 1 2 3 4
113 391 671 910 1097
114 389 668 898 1105
115 386 663 912 1098
116 385 664 913 1100
117 380 661 909 1109
118 393 655 905 1108
119 388 669 900 1103
120 387 657 907 1104
121 395 662 897 1111
122 392 665 899 1110
123 381 670 914 1107
110 394 667 908 1099
109 400 996 1011 1012
107 398 999 1006 1009
108 399 1000 1005 1010
108 397 1004 1017 1019
108 401 1002 1008 1016
109 403 997 1015 1021
109 404 998 1013 1018
107 402 1003 1007 1014
107 396 1001 1020 1022
145 369 574 1319 1326
144 371 573 1317 1325
141 370 577 1320 1327
142 373 578 1318 1328
143 374 575 1321 1324
140 372 576 1322 1323
139 376 579 1311 1313
138 377 581 1312 1315
137 375 580 1314 1316
92 789 985 1084 1227
89 793 982 1078 1225
90 794 983 1077 1226
91 795 984 1083 1221
90 806 995 1082 1236
91 791 987 1093 1233
92 801 990 1089 1224
93 798 978 1090 1231
93 799 980 1087 1232
94 792 991 1086 1235
94 796 994 1091 1222
95 802 989 1079 1228
95 804 986 1080 1230
96 790 993 1088 1229
96 805 988 1085 1223
97 803 981 1094 1238
97 800 979 1092 1234
89 797 992 1081 1237
95 564 612 886 887
93 567 609 883 884
94 568 611 879 885
90 566 616 890 896
91 569 613 880 889
92 572 617 881 888
96 570 614 882 895
97 571 610 891 893
89 565 615 892 894
97 348 421 431 432
96 350 420 426 430
90 355 417 433 442
91 354 423 427 438
92 352 425 429 436
93 349 422 434 437
94 353 424 428 443
95 351 419 439 440
89 356 418 435 441
150 341 348 351 352
151 341 349 350 356
149 341 353 354 355
151 444 451 464 473
150 447 450 466 478
150 445 449 469 475
150 459 461 463 472
151 446 456 462 479
151 448 453 470 471
149 452 458 468 476
149 454 460 467 474
149 455 457 465 477
332 344 1337 1338 1353
335 343 1329 1336 1352
336 344 1335 1340 1347
337 344 1332 1343 1351
338 343 1331 1346 1349
339 342 1330 1341 1355
340 342 1342 1345 1348
333 343 1339 1344 1354
334 342 1333 1334 1350
157 563 1258 1266 1279
155 561 1257 1263 1278
156 562 1264 1265 1275
158 563 1260 1270 1277
159 561 1261 1274 1276
160 562 1259 1262 1283
152 562 1268 1272 1280
153 563 1269 1271 1281
154 561 1267 1273 1282
159 654 796 938 1118
158 661 789 937 1117
155 658 792 950 1121
155 671 799 935 1115
156 657 795 940 1129
156 655 793 943 1125
157 660 790 947 1123
157 669 806 934 1114
158 665 794 949 1116
159 656 804 936 1124
160 659 800 944 1113
160 663 791 933 1130
153 664 805 941 1120
153 667 801 945 1127
152 668 803 948 1128
154 670 802 946 1126
152 666 797 939 1119
154 662 798 942 1122
160 638 782 1041 1048
155 643 784 1043 1046
156 636 780 1056 1058
157 641 788 1044 1045
158 644 781 1042 1051
159 637 787 1047 1049
153 639 786 1052 1055
154 640 783 1050 1054
152 642 785 1053 1057
332 701 943 1015 1179
332 700 944 1016 1180
336 690 939 1013 1176
337 697 940 1006 1177
338 698 941 1005 1178
339 699 942 1014 1167
335 703 934 1021 1168
335 694 945 1007 1183
336 692 933 1020 1181
337 707 948 1010 1170
338 705 949 1012 1169
339 704 938 1008 1175
340 693 950 1017 1172
340 691 946 1018 1174
334 696 935 1009 1173
333 702 947 1019 1184
333 706 937 1022 1182
334 695 936 1011 1171
332 613 817 818 874
340 609 815 816 873
335 614 809 812 877
336 610 814 822 876
337 615 807 821 870
338 617 810 819 872
339 612 808 823 878
334 611 811 813 871
333 616 820 824 875
287 357 825 915 1149
288 363 834 924 1160
293 357 833 922 1158
294 362 826 923 1159
295 358 831 929 1161
296 361 827 930 1166
297 362 840 921 1152
298 364 837 917 1156
299 359 842 931 1155
300 363 832 918 1162
301 365 830 932 1154
302 358 836 919 1165
289 360 829 920 1157
290 364 839 925 1164
291 365 841 927 1163
292 359 828 916 1153
303 360 838 926 1151
304 361 835 928 1150
242 368 757 988 989
245 367 753 986 987
246 366 761 984 993
247 366 758 985 994
248 368 755 982 991
249 367 756 980 995
250 368 759 979 983
243 367 760 990 992
244 366 754 978 981
220 357 651 665 666
218 364 645 662 663
219 365 650 654 664
221 363 647 658 668
222 360 653 657 667
223 359 648 669 670
215 361 649 659 660
216 362 652 661 671
217 358 646 655 656
269 708 789 1023 1356
270 717 799 1032 1361
275 709 797 1031 1359
276 716 798 1024 1360
286 725 805 1040 1356
285 724 806 1039 1356
277 723 791 1037 1358
278 718 794 1035 1357
279 714 796 1025 1361
280 710 802 1029 1361
281 719 803 1028 1358
282 712 792 1036 1360
283 715 801 1038 1357
284 722 795 1027 1359
271 711 790 1026 1357
272 713 793 1030 1358
273 720 804 1033 1360
274 721 800 1034 1359
209 905 906 996 1364
210 904 913 1002 1362
211 897 910 1001 1363
212 911 914 997 1363
213 898 903 1004 1364
214 908 909 999 1362
206 899 900 998 1362
207 901 902 1000 1363
208 907 912 1003 1364
195 762 888 1142 1355
194 771 879 1141 1354
196 772 893 1132 1349
197 776 889 1135 1350
